waveform	Ch0		Gen	
t0	11/14/2016  20:10:35.691653		11/14/2016  20:10:35.691665	
delta t	0.000500		0.000500	

time[0]	Ch0	time[1]	Gen
11/14/2016  20:10:35.814653	2.633295E+0	11/14/2016  20:10:35.814665	-2.813726E-5
11/14/2016  20:10:35.815153	2.632969E+0	11/14/2016  20:10:35.815165	1.601193E-3
11/14/2016  20:10:35.815653	2.632643E+0	11/14/2016  20:10:35.815665	2.977288E-4
11/14/2016  20:10:35.816153	2.632643E+0	11/14/2016  20:10:35.816165	6.235948E-4
11/14/2016  20:10:35.816653	2.632643E+0	11/14/2016  20:10:35.816665	9.494608E-4
11/14/2016  20:10:35.817153	2.632643E+0	11/14/2016  20:10:35.817165	2.977288E-4
11/14/2016  20:10:35.817653	2.632969E+0	11/14/2016  20:10:35.817665	9.494608E-4
11/14/2016  20:10:35.818153	2.632969E+0	11/14/2016  20:10:35.818165	6.235948E-4
11/14/2016  20:10:35.818653	2.632969E+0	11/14/2016  20:10:35.818665	6.235948E-4
11/14/2016  20:10:35.819153	2.632969E+0	11/14/2016  20:10:35.819165	1.275327E-3
11/14/2016  20:10:35.819653	1.936268E+0	11/14/2016  20:10:35.819665	6.235948E-4
11/14/2016  20:10:35.820153	1.936268E+0	11/14/2016  20:10:35.820165	2.578791E-3
11/14/2016  20:10:35.820653	1.936594E+0	11/14/2016  20:10:35.820665	2.977288E-4
11/14/2016  20:10:35.821153	1.936594E+0	11/14/2016  20:10:35.821165	6.235948E-4
11/14/2016  20:10:35.821653	1.936919E+0	11/14/2016  20:10:35.821665	1.601193E-3
11/14/2016  20:10:35.822153	1.936919E+0	11/14/2016  20:10:35.822165	6.235948E-4
11/14/2016  20:10:35.822653	1.936919E+0	11/14/2016  20:10:35.822665	9.494608E-4
11/14/2016  20:10:35.823153	1.937897E+0	11/14/2016  20:10:35.823165	9.494608E-4
11/14/2016  20:10:35.823653	1.936268E+0	11/14/2016  20:10:35.823665	1.601193E-3
11/14/2016  20:10:35.824153	1.936594E+0	11/14/2016  20:10:35.824165	6.235948E-4
11/14/2016  20:10:35.824653	1.935942E+0	11/14/2016  20:10:35.824665	1.927059E-3
11/14/2016  20:10:35.825153	1.935942E+0	11/14/2016  20:10:35.825165	1.275327E-3
11/14/2016  20:10:35.825653	1.936268E+0	11/14/2016  20:10:35.825665	9.494608E-4
11/14/2016  20:10:35.826153	1.935942E+0	11/14/2016  20:10:35.826165	9.494608E-4
11/14/2016  20:10:35.826653	1.936268E+0	11/14/2016  20:10:35.826665	1.275327E-3
11/14/2016  20:10:35.827153	1.936919E+0	11/14/2016  20:10:35.827165	1.275327E-3
11/14/2016  20:10:35.827653	1.936268E+0	11/14/2016  20:10:35.827665	9.494608E-4
11/14/2016  20:10:35.828153	1.936268E+0	11/14/2016  20:10:35.828165	1.275327E-3
11/14/2016  20:10:35.828653	1.936919E+0	11/14/2016  20:10:35.828665	1.927059E-3
11/14/2016  20:10:35.829153	1.935290E+0	11/14/2016  20:10:35.829165	9.494608E-4
11/14/2016  20:10:35.829653	1.936594E+0	11/14/2016  20:10:35.829665	9.494608E-4
11/14/2016  20:10:35.830153	1.937245E+0	11/14/2016  20:10:35.830165	2.977288E-4
11/14/2016  20:10:35.830653	1.936268E+0	11/14/2016  20:10:35.830665	9.494608E-4
11/14/2016  20:10:35.831153	1.936594E+0	11/14/2016  20:10:35.831165	1.927059E-3
